dataset,seed,candidate,category,source_work_identity,bootstrap_work_index,bits_per_byte,nll_sum,tokens,source_chars,source_bytes
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:dd88113ccc60b7699d2c9347a398c5a7acd779379d3a65044cdfec0f7a53ca47,85,5.50373058251704,457.7874402999878,45,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:91a9fc3f3bf6f759c805d8991ec615e476b531e2d18733983b45d55fa3050bdc,82,4.657536177883142,387.40296840667725,40,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:1bdc76492ee87575f06f81fed47e66616f04a17174f37cb9e9b56f2e51f6058a,29,5.506484747084487,229.00826263427734,22,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:d4b6bdac65f25e1d06547ce88e4c9810c1c705b41cc1bc9e1d075549ba3cd696,42,4.575736945945819,266.4193696975708,26,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:92962b2becc7cee570967487d785019a13b9cb591d3f50b25b2afcd1fe53f2c2,46,6.184843562739942,360.1085777282715,36,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:be5128326818907c64a0de0aa20944748f8f995f9f475c0d205f6616c4437bb7,39,5.092639041901931,296.5156650543213,29,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:384a2829117df294f918e0e3292aaeb2ceb26f82fe95b69531292e41d596fcdb,80,6.179040078617566,513.9581050872803,50,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:e62e8d1b5a1be2dbb714cc0f0b0d8503d6a659c6737858eeb90e06ab78241761,71,4.692736514017586,273.2315950393677,27,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:c3b29a274f6ee071fbe02e89e38bae7e2a961492db2382eb5f98bacb15565fab,20,5.550851165579256,646.3895483016968,65,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:66be6d209047c20bf16ed7e709147176ce8d974b4814dc9bb1808e1b9003a4c3,86,5.001104428995467,415.9801721572876,40,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:f7436097f1cf75a3137b5e899d5dc6e5b933a514de2be41598bc747649b46bd8,1,5.292207950738846,440.1934823989868,44,40,120
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:9beed968afd17741e87149d0ebe3868b9aad034dcf2a2aa1dce8f8b630cc0bd1,26,4.960261817085917,206.29148960113525,20,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:54246f8567838836aa8f2dfa6cd0fa1a0615aa5a61094e0e6d22bd4e010af3b5,65,5.163927242925072,300.6663751602173,30,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:6de762fbae5cdea909bda4906ad245f5cc75f692374795ca0623fcce53a55e9d,19,5.0571784304995315,588.9019870758057,59,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:cc8beb8808cee6f397a4c7e5703b64ad374667e09e452594277ad614a4113104,13,5.547302573837153,645.9763193130493,64,56,168
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:ec1d71629897d032d200bc0c57750145d04d86acc0a6396c648a042829924aea,31,4.975151387067015,206.91072940826416,20,20,60
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:964bfe91c38434748812e8b8b16787e3c98616914e921f9b879582ebbc22b7f4,67,6.441656721658031,375.0613603591919,37,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:ca92af2a8bc61ae0ed038296541d8177d788bfd267f5857643ae688a5962e783,40,4.828616976293776,281.1431484222412,28,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:22f44fef0442f74ec7e3a8019f0d5b5863c7412ab19972f024585da8f6ae00e5,58,5.4614449280633695,317.9891529083252,32,28,84
old,1,j-reversible-sp-unigram-32k,kanbun,sha256:0bf633a5dc9bf7ac673d3599d8596c43ba77d4ea94b9469cf17de002f895f6c3,56,4.3889132078301545,255.54167652130127,26,28,84
