candidate,seed,domain,requested_budget_fraction,actual_budget_fraction,source_chars,bits_per_byte,nll_sum,source_bytes,tokens,token_nll
j-reversible-sp-unigram-32k,1,aa,0.75,0.7500226666666666,468245,1.8239683451281787,1647722.811208725,1303291,189974,8.673412210137835
j-reversible-sp-unigram-32k,1,aozora_kyu_kyu,0.75,0.7500226666666666,98589,2.1984691045494786,432051.6372013092,283524,48030,8.995453616516953
j-reversible-sp-unigram-32k,1,aozora_shin_kyu,0.75,0.7500226666666666,363135,2.1241710252028017,1545492.4904356003,1049668,174239,8.869957302530434
j-reversible-sp-unigram-32k,1,aozora_shin_shin,0.75,0.7500226666666666,500000,1.989508861511537,2005655.779086113,1454404,226058,8.872306129781352
j-reversible-sp-unigram-32k,1,gyaru,0.75,0.7500226666666666,211,6.020468027050281,2282.669529914856,547,227,10.055812907113904
j-reversible-sp-unigram-32k,1,historical_kana,0.75,0.7500226666666666,11,2.581267969508124,59.04355430603027,33,7,8.434793472290039
j-reversible-sp-unigram-32k,1,kakikudashi,0.75,0.7500226666666666,7344,3.8130651921469703,58230.915011405945,22032,6309,9.229816930005697
j-reversible-sp-unigram-32k,1,kanbun,0.75,0.7500226666666666,4292,5.2388797142605394,46756.80811882019,12876,4675,10.001456282100575
j-reversible-sp-unigram-32k,1,old_orthography,0.75,0.7500226666666666,13,2.2208598435057496,60.035926818847656,39,7,8.576560974121094
j-reversible-sp-unigram-32k,1,technical,0.75,0.7500226666666666,34542,5.917957565662566,224987.35170078278,54848,23549,9.55400873501137
j-reversible-sp-unigram-32k,1,unicode_edge,0.75,0.7500226666666666,70,10.727085587129004,1018.6565308570862,137,97,10.501613720176147
j-reversible-sp-unigram-32k,1,web_novel,0.75,0.7500226666666666,148523,2.305372804570881,631163.29129982,394980,70196,8.991442408396773
j-reversible-sp-unigram-32k,1,whitespace,0.75,0.7500226666666666,34,6.1277189092517474,195.38090991973877,46,21,9.303852853320894
j-reversible-sp-unigram-32k,1,aa,1.0,1.0,468245,1.8270663294889424,1650521.4450302124,1303291,189974,8.688143877742283
j-reversible-sp-unigram-32k,1,aozora_kyu_kyu,1.0,1.0,98589,2.176675060936167,427768.58759880066,283524,48030,8.906279150505947
j-reversible-sp-unigram-32k,1,aozora_shin_kyu,1.0,1.0,363135,2.1057398865610444,1532082.4655256271,1049668,174239,8.7929939079404
j-reversible-sp-unigram-32k,1,aozora_shin_shin,1.0,1.0,500000,1.9784584816814583,1994515.7140197754,1454404,226058,8.823026453475547
j-reversible-sp-unigram-32k,1,gyaru,1.0,1.0,211,6.017123934762409,2281.4016122817993,547,227,10.050227366880174
j-reversible-sp-unigram-32k,1,historical_kana,1.0,1.0,11,2.5640830044135097,58.65046787261963,33,7,8.37863826751709
j-reversible-sp-unigram-32k,1,kakikudashi,1.0,1.0,7344,3.816686223069936,58286.213290691376,22032,6309,9.238581913249545
j-reversible-sp-unigram-32k,1,kanbun,1.0,1.0,4292,5.245909327254897,46819.54715538025,12876,4675,10.014876396872781
j-reversible-sp-unigram-32k,1,old_orthography,1.0,1.0,13,2.214753277570622,59.870849609375,39,7,8.552978515625
j-reversible-sp-unigram-32k,1,technical,1.0,1.0,34542,5.7846349429751225,219918.72735404968,54848,23549,9.338771385368792
j-reversible-sp-unigram-32k,1,unicode_edge,1.0,1.0,70,10.613537720065937,1007.8738932609558,137,97,10.390452507844905
j-reversible-sp-unigram-32k,1,web_novel,1.0,1.0,148523,2.3003951148016593,629800.5030117035,394980,70196,8.972028363606238
j-reversible-sp-unigram-32k,1,whitespace,1.0,1.0,34,5.974547077674749,190.497061252594,46,21,9.071288631075905
j-reversible-sp-unigram-48k,1,aa,0.19,0.19008296666666666,468245,1.7838487491378259,1611479.8721981049,1303291,175826,9.165196684211123
j-reversible-sp-unigram-48k,1,aozora_kyu_kyu,0.19,0.19008296666666666,98589,2.1629856388165005,425078.28950595856,283524,44962,9.454167730660526
j-reversible-sp-unigram-48k,1,aozora_shin_kyu,0.19,0.19008296666666666,363135,2.089548562594209,1520302.0724668503,1049668,162834,9.336514932181549
j-reversible-sp-unigram-48k,1,aozora_shin_shin,0.19,0.19008296666666666,500000,1.9488462034390128,1964663.1015796661,1454404,210650,9.32667031369412
j-reversible-sp-unigram-48k,1,gyaru,0.19,0.19008296666666666,211,6.092262733614037,2309.890601158142,547,223,10.358253816852654
j-reversible-sp-unigram-48k,1,historical_kana,0.19,0.19008296666666666,11,2.514456899770689,57.51532745361328,33,6,9.585887908935547
j-reversible-sp-unigram-48k,1,kakikudashi,0.19,0.19008296666666666,7344,3.764003432026992,57481.67233133316,22032,6098,9.42631556761777
j-reversible-sp-unigram-48k,1,kanbun,0.19,0.19008296666666666,4292,5.226487617565182,46646.20911312103,12876,4633,10.068251481355716
j-reversible-sp-unigram-48k,1,old_orthography,0.19,0.19008296666666666,13,2.2326213048367243,60.35387134552002,39,7,8.621981620788574
j-reversible-sp-unigram-48k,1,technical,0.19,0.19008296666666666,34542,5.864674496666048,222961.65002059937,54848,20968,10.633424743447128
j-reversible-sp-unigram-48k,1,unicode_edge,0.19,0.19008296666666666,70,10.904833764293773,1035.535704612732,137,94,11.01633728311417
j-reversible-sp-unigram-48k,1,web_novel,0.19,0.19008296666666666,148523,2.2580307922165814,618202.0295572281,394980,65296,9.46768606893574
j-reversible-sp-unigram-48k,1,whitespace,0.19,0.19008296666666666,34,6.4375507693955845,205.25982761383057,46,19,10.803148821780557
j-reversible-sp-unigram-48k,1,aa,0.2,0.2000922,468245,1.7806204426435261,1608563.5089473724,1303291,175826,9.148610040309013
j-reversible-sp-unigram-48k,1,aozora_kyu_kyu,0.2,0.2000922,98589,2.179657412179407,428354.69078063965,283524,44962,9.527038182924239
j-reversible-sp-unigram-48k,1,aozora_shin_kyu,0.2,0.2000922,363135,2.101994216846384,1529357.2120752335,1049668,162834,9.39212456904107
j-reversible-sp-unigram-48k,1,aozora_shin_shin,0.2,0.2000922,500000,1.9519968703878372,1967839.339442253,1454404,210650,9.341748585056981
j-reversible-sp-unigram-48k,1,gyaru,0.2,0.2000922,211,5.989390315576183,2270.886368751526,547,223,10.183346945074106
j-reversible-sp-unigram-48k,1,historical_kana,0.2,0.2000922,11,2.546952740225061,58.25863265991211,33,6,9.709772109985352
j-reversible-sp-unigram-48k,1,kakikudashi,0.2,0.2000922,7344,3.771743438976376,57599.87321805954,22032,6098,9.44569911742531
j-reversible-sp-unigram-48k,1,kanbun,0.2,0.2000922,4292,5.220080140136444,46589.02261352539,12876,4633,10.055908183363995
j-reversible-sp-unigram-48k,1,old_orthography,0.2,0.2000922,13,2.2219103664549587,60.0643253326416,39,7,8.580617904663086
j-reversible-sp-unigram-48k,1,technical,0.2,0.2000922,34542,5.821365389423327,221315.1357908249,54848,20968,10.55489964664369
j-reversible-sp-unigram-48k,1,unicode_edge,0.2,0.2000922,70,10.796205966863806,1025.2202825546265,137,94,10.906598750581132
j-reversible-sp-unigram-48k,1,web_novel,0.2,0.2000922,148523,2.2532806858517795,616901.5488882065,394980,65296,9.447769371603261
j-reversible-sp-unigram-48k,1,whitespace,0.2,0.2000922,34,6.304200775811259,201.00799369812012,46,19,10.579368089374743
j-reversible-sp-unigram-48k,1,aa,0.5,0.5002655666666667,468245,1.7833439672992275,1611023.8661756516,1303291,175826,9.162603176866059
j-reversible-sp-unigram-48k,1,aozora_kyu_kyu,0.5,0.5002655666666667,98589,2.119284727671065,416490.0177087784,283524,44962,9.26315594743958
j-reversible-sp-unigram-48k,1,aozora_shin_kyu,0.5,0.5002655666666667,363135,2.049713911517165,1491319.399523735,1049668,162834,9.158525857767636
j-reversible-sp-unigram-48k,1,aozora_shin_shin,0.5,0.5002655666666667,500000,1.9443565274985413,1960136.987285614,1454404,210650,9.3051838940689
j-reversible-sp-unigram-48k,1,gyaru,0.5,0.5002655666666667,211,5.802680406110121,2200.095025062561,547,223,9.865896973374713
j-reversible-sp-unigram-48k,1,historical_kana,0.5,0.5002655666666667,11,2.28447669590528,52.25479316711426,33,6,8.709132194519043
j-reversible-sp-unigram-48k,1,kakikudashi,0.5,0.5002655666666667,7344,3.773611231420626,57628.39705848694,22032,6098,9.450376690470144
j-reversible-sp-unigram-48k,1,kanbun,0.5,0.5002655666666667,4292,5.173094385568018,46169.67648792267,12876,4633,9.965395313602993
